danceability,key,mode,time_signature,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,popularity,genre
0.812,5,0,4,0.506,-7.706,0.116,0.281,0,0.325,0.554,145.074,237945,0.06451612903225806,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.12903225806451613,0.04838709677419355,0.04838709677419355,0.16129032258064516,0.12903225806451613,0.27419354838709675,69,Pop
0.864,10,1,4,0.477,-5.786,0.224,0.201,0,0.182,0.5,86.46,192931,0.07692307692307693,0.11538461538461539,0,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.15384615384615385,0.2692307692307692,74,Pop
0.881,7,1,4,0.636,-4.629,0.287,0.00606,0,0.111,0.715,163.949,152195,0.125,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.125,0.16666666666666666,0.25,65,Pop
0.718,1,1,4,0.706,-5.709,0.06,0.0128,0,0.352,0.815,170.004,189176,0.10810810810810811,0.08108108108108109,0.08108108108108109,0.10810810810810811,0.05405405405405406,0.02702702702702703,0.05405405405405406,0.10810810810810811,0.21621621621621623,0.16216216216216217,68,Pop
0.825,5,0,4,0.373,-5.532,0.108,0.163,0,0.368,0.12,77.271,149077,0.10975609756097561,0.12195121951219512,0.04878048780487805,0.08536585365853659,0.08536585365853659,0.06097560975609756,0.07317073170731707,0.10975609756097561,0.14634146341463414,0.15853658536585366,73,Pop
0.551,1,0,4,0.57,-7.385,0.351,0.28,0,0.424,0.505,85.687,271183,0.08571428571428572,0.10476190476190476,0.05714285714285714,0.0761904761904762,0.08571428571428572,0.08571428571428572,0.02857142857142857,0.12380952380952381,0.1523809523809524,0.2,61,Pop
0.787,6,0,4,0.477,-7.837,0.199,0.768,0,0.104,0.476,80.506,234782,0.1206896551724138,0.05172413793103448,0.10344827586206896,0.06896551724137931,0.08620689655172414,0.06896551724137931,0.06896551724137931,0.10344827586206896,0.1896551724137931,0.13793103448275862,66,Pop
0.543,0,0,3,0.766,-3.387,0.343,0.423,0,0.155,0.729,106.869,204805,0.12162162162162163,0.08108108108108109,0.06756756756756757,0.0945945945945946,0.06756756756756757,0.10810810810810811,0.05405405405405406,0.0945945945945946,0.1891891891891892,0.12162162162162163,68,Rap
0.749,10,0,4,0.792,-4.151,0.0826,0.292,0,0.109,0.239,144.064,180000,0.08771929824561403,0.10526315789473684,0.08771929824561403,0.10526315789473684,0.05263157894736842,0.07017543859649122,0.017543859649122806,0.08771929824561403,0.21052631578947367,0.17543859649122806,68,Pop
0.423,6,1,4,0.587,-6.635,0.529,0.765,0,0.114,0.33,180.331,253803,0.0851063829787234,0.0851063829787234,0.06382978723404255,0.05319148936170213,0.11702127659574468,0.09574468085106383,0.05319148936170213,0.13829787234042554,0.1276595744680851,0.18085106382978725,58,Pop
0.631,4,0,4,0.788,-7.142,0.102,0.371,3.17e-4,0.108,0.544,157.769,240956,0.08823529411764706,0.11764705882352941,0,0.08823529411764706,0.11764705882352941,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.17647058823529413,0.14705882352941177,64,Pop
0.789,1,1,4,0.404,-8.364,0.23,0.205,0,0.219,0.472,122.062,235566,0.11363636363636363,0.1590909090909091,0.022727272727272728,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.06818181818181818,0.09090909090909091,0.13636363636363635,0.18181818181818182,62,Pop
0.421,11,0,3,0.539,-5.456,0.274,0.779,0,0.111,0.523,89.177,281518,0.13636363636363635,0.10606060606060606,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.07575757575757576,0.12121212121212122,0.10606060606060606,0.13636363636363635,0.10606060606060606,65,Rap
0.733,1,1,4,0.361,-11.129,0.135,0.348,2.85e-4,0.0942,0.0361,94.902,353697,0.1038961038961039,0.09090909090909091,0.07792207792207792,0.06493506493506493,0.06493506493506493,0.1038961038961039,0.06493506493506493,0.06493506493506493,0.22077922077922077,0.14285714285714285,56,Pop
0.673,8,1,4,0.81,-3.793,0.36,0.0322,0,0.133,0.564,166.084,266325,0.09278350515463918,0.09278350515463918,0.07216494845360824,0.12371134020618557,0.07216494845360824,0.10309278350515463,0.08247422680412371,0.061855670103092786,0.17525773195876287,0.12371134020618557,54,Pop
